Marie,de la Lefevre,NICE 6000,04.67.60.05.05,marie.de-la-lefevre@outlook.fr,avocat,03/10/1962
Christophe,Deschamps Le Lefevre,,01.94.24.76.18,christophe.deschamps-le-lefevre@yahoo.fr,,
Eric,Vasseur,LYON 69007,04.07.93.01.11,eric.vasseur@hotmail.fr,technicien,28/04/1998
Isaac,Roy-Ribeiro,PARIS 75012,01.35.07.46.64,,chercheur,22/06/1963
Alphonse,Munoz,,05.30.20.19.07,alphonse.munoz@yahoo.fr,,24/12/1999
,Huet,TOULOUSE 31200,05.93.47.79.79,,banquier,31/07/1966
Bernadette,Couturier,PARIS 75007,01.18.65.94.99,bernadette.couturier@outlook.fr,banquier,13/02/1982
Gerard,Mercier,MARSEILLE 13008,04.13.15.58.95,gerard.mercier@gmail.com,informaticien,05/07/1980
Laure,Lucas,MARSEILLE 13009,04.31.31.06.30,laure.lucas@yahoo.fr,,
Alexandre,Gay,MARSEILLE 13011,04.35.99.08.15,alexandre.gay@gmail.com,,03/03/1964
